valor,fecha
65.2,2026-07-01 08:00:00
63.8,2026-07-01 09:00:00
62.1,2026-07-01 10:00:00
60.5,2026-07-01 11:00:00
58.9,2026-07-01 12:00:00
57.3,2026-07-01 13:00:00
58.1,2026-07-01 14:00:00
60.0,2026-07-01 15:00:00
62.5,2026-07-01 16:00:00
64.8,2026-07-01 17:00:00
66.2,2026-07-01 18:00:00
67.5,2026-07-01 19:00:00
68.1,2026-07-01 20:00:00
68.8,2026-07-01 21:00:00
69.2,2026-07-01 22:00:00
69.5,2026-07-01 23:00:00
70.0,2026-07-02 00:00:00
70.2,2026-07-02 01:00:00
70.5,2026-07-02 02:00:00
70.8,2026-07-02 03:00:00
71.0,2026-07-02 04:00:00
70.5,2026-07-02 05:00:00
69.8,2026-07-02 06:00:00
68.5,2026-07-02 07:00:00
66.2,2026-07-02 08:00:00
64.0,2026-07-02 09:00:00
62.5,2026-07-02 10:00:00
60.8,2026-07-02 11:00:00
59.2,2026-07-02 12:00:00
57.8,2026-07-02 13:00:00
56.5,2026-07-02 14:00:00
55.8,2026-07-02 15:00:00
57.2,2026-07-02 16:00:00
59.5,2026-07-02 17:00:00
62.0,2026-07-02 18:00:00
64.5,2026-07-02 19:00:00
66.8,2026-07-02 20:00:00
68.2,2026-07-02 21:00:00
69.0,2026-07-02 22:00:00
69.5,2026-07-02 23:00:00
