valor,fecha
23.5,2026-07-01 08:00:00
24.2,2026-07-01 09:00:00
25.1,2026-07-01 10:00:00
26.8,2026-07-01 11:00:00
27.3,2026-07-01 12:00:00
28.0,2026-07-01 13:00:00
27.5,2026-07-01 14:00:00
26.2,2026-07-01 15:00:00
25.0,2026-07-01 16:00:00
24.1,2026-07-01 17:00:00
23.3,2026-07-01 18:00:00
22.8,2026-07-01 19:00:00
22.5,2026-07-01 20:00:00
22.1,2026-07-01 21:00:00
21.8,2026-07-01 22:00:00
21.5,2026-07-01 23:00:00
21.2,2026-07-02 00:00:00
21.0,2026-07-02 01:00:00
20.8,2026-07-02 02:00:00
20.5,2026-07-02 03:00:00
20.3,2026-07-02 04:00:00
20.1,2026-07-02 05:00:00
20.5,2026-07-02 06:00:00
21.2,2026-07-02 07:00:00
22.0,2026-07-02 08:00:00
23.1,2026-07-02 09:00:00
24.5,2026-07-02 10:00:00
25.8,2026-07-02 11:00:00
27.0,2026-07-02 12:00:00
28.2,2026-07-02 13:00:00
29.1,2026-07-02 14:00:00
29.5,2026-07-02 15:00:00
28.8,2026-07-02 16:00:00
27.5,2026-07-02 17:00:00
26.0,2026-07-02 18:00:00
24.5,2026-07-02 19:00:00
23.2,2026-07-02 20:00:00
22.5,2026-07-02 21:00:00
22.0,2026-07-02 22:00:00
21.5,2026-07-02 23:00:00
